
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 2.09e+00
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      100

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
    82  4.7498117e-03  1.2082528e-03   4.70e-04     0.0      76       0
    83  4.3035497e-03  1.1959368e-02   8.69e-04     0.0      67       0
    84  3.8275396e-03  9.1271745e-03   7.62e-04    -0.3      68       0
    85  3.2433077e-03  9.7357261e-04   3.36e-04     0.0      69       0
    86  3.0964847e-03  1.2469706e-03   3.38e-04     0.0      68       0
    87  3.0080669e-03  5.6868466e-04   2.94e-04     0.0      66       0
    88  2.8328186e-03  1.0617738e-03   2.96e-04     0.0      66       0
    89  2.7583217e-03  1.0420001e-03   2.90e-04    -0.3      64       0
    90  2.6994259e-03  1.2506329e-03   2.93e-04     0.0      65       0
    91  2.6257015e-03  1.0411235e-03   2.78e-04     0.0      64       0
    92  2.5653571e-03  7.9268002e-04   2.61e-04     0.0      64       0
    93  2.5127340e-03  7.0677623e-04   2.53e-04     0.0      64       0
    94  2.3737587e-03  9.7218028e-04   2.51e-04     0.0      58       0
    95  2.3105045e-03  7.4741633e-04   2.38e-04    -0.3      56       0
    96  2.2596194e-03  7.6544931e-04   2.33e-04     0.0      56       0
    97  2.2060563e-03  6.1115019e-04   2.22e-04     0.0      56       0
    98  2.1280302e-03  1.4989743e-03   2.53e-04     0.0      56       0
    99  2.1134682e-03  1.9252133e-03   2.74e-04    -0.3      52       0
   100  2.0021167e-03  7.0171017e-04   2.07e-04     0.0      53       0

 ERROR EXIT -- Too many iterations

 Products with A     :     142        Total time   (secs) :     1.1
 Products with A'    :     101        Project time (secs) :     0.1
 Newton iterations   :       0        Mat-vec time (secs) :     0.6
 Line search its     :      49        Subspace iterations :       0

