
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 2.09e+00
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :     1200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
    82  4.5401386e-03  1.4805741e-03   4.49e-04     0.0      73       0
    83  4.2503275e-03  2.3908171e-03   4.53e-04     0.0      72       0
    84  4.1619530e-03  1.8940255e-03   4.33e-04    -0.3      72       0
    85  4.0929915e-03  1.6063463e-03   4.10e-04     0.0      72       0
    86  4.0268586e-03  1.5750107e-03   4.07e-04     0.0      71       0
    87  3.9701849e-03  1.0301460e-03   3.74e-04     0.0      71       0
    88  3.8938197e-03  1.5377775e-03   3.95e-04     0.0      69       0
    89  3.9190052e-03  5.4733078e-03   5.75e-04     0.0      70       0
    90  3.9257273e-03  3.3536875e-03   4.72e-04     0.0      68       0
    91  3.6575814e-03  1.0271081e-03   3.50e-04     0.0      68       0
    92  3.6197389e-03  1.1601583e-03   3.54e-04     0.0      68       0
    93  3.5378740e-03  9.5106110e-04   3.36e-04     0.0      68       0
    94  3.3087530e-03  3.2284506e-03   4.12e-04    -0.3      67       0
    95  3.0843933e-03  2.3752196e-03   3.72e-04    -0.3      65       0
    96  2.9922442e-03  8.3944789e-04   2.90e-04     0.0      66       0
    97  2.9530352e-03  8.2746273e-04   2.84e-04     0.0      65       0
    98  2.8363684e-03  9.9138679e-04   2.80e-04     0.0      63       0
    99  2.7756300e-03  1.5595515e-03   3.01e-04    -0.3      64       0
   100  2.7393747e-03  1.2760013e-03   2.84e-04    -0.3      63       0
   101  2.6671794e-03  7.0185114e-04   2.52e-04     0.0      63       0
   102  2.6390387e-03  8.2532951e-04   2.57e-04     0.0      63       0
   103  2.5694812e-03  6.9930520e-04   2.44e-04     0.0      63       0
   104  2.6083963e-03  4.4506336e-03   4.01e-04    -0.3      58       0
   105  2.2123890e-03  1.5699673e-03   2.61e-04    -0.3      59       0
   106  2.1411743e-03  5.3604312e-04   2.04e-04     0.0      59       0
   107  2.1118060e-03  5.9422821e-04   2.03e-04     0.0      59       0
   108  2.0185236e-03  7.6780679e-04   2.02e-04     0.0      58       0
   109  2.0985048e-03  3.3820415e-03   3.20e-04    -0.3      55       0
   110  1.8244411e-03  5.1653078e-04   1.77e-04    -0.3      56       0
   111  1.7975464e-03  4.0296135e-04   1.68e-04     0.0      56       0
   112  1.7580058e-03  5.9940017e-04   1.73e-04     0.0      56       0
   113  1.6349101e-03  1.0675917e-03   1.85e-04     0.0      52       0
   114  1.5790788e-03  7.4282851e-04   1.67e-04    -0.3      53       0
   115  1.5478462e-03  4.3446432e-04   1.49e-04     0.0      52       0
   116  1.5281000e-03  5.0309333e-04   1.50e-04     0.0      51       0
   117  1.4675858e-03  4.8863162e-04   1.44e-04     0.0      49       0
   118  1.4449784e-03  5.8646688e-04   1.46e-04    -0.3      49       0
   119  1.4218848e-03  4.3791219e-04   1.38e-04     0.0      49       0
   120  1.4006452e-03  5.1867879e-04   1.40e-04     0.0      48       0
   121  1.3799654e-03  3.4885780e-04   1.30e-04     0.0      47       0
   122  1.3532082e-03  5.9541174e-04   1.39e-04     0.0      46       0
   123  1.3782379e-03  2.1641204e-03   2.16e-04     0.0      46       0
   124  1.3145758e-03  6.9987828e-04   1.40e-04     0.0      46       0
   125  1.2789319e-03  3.7932710e-04   1.23e-04     0.0      45       0
   126  1.2672896e-03  3.9177256e-04   1.23e-04     0.0      45       0
   127  1.0525165e-03  3.4701436e-04   1.03e-04     0.0      38       0
   128  1.1126112e-03  2.4608448e-03   2.05e-04    -0.3      35       0
   129  1.0645935e-03  2.2929767e-03   1.97e-04    -0.3      34       0
   130  9.5092568e-04  3.1563040e-04   9.42e-05     0.0      33       0
   131  9.4003386e-04  2.5646900e-04   9.02e-05     0.0      34       0
   132  9.1824864e-04  2.8989150e-04   8.95e-05     0.0      33       0
   133  7.4847042e-04  7.2794674e-04   9.55e-05     0.0      28       0
   134  8.5160136e-04  1.5446591e-03   1.34e-04    -0.3      28       0
   135  7.4120472e-04  1.0650914e-03   1.15e-04     0.0      26       0
   136  6.8304677e-04  2.7609050e-04   7.01e-05     0.0      26       0
   137  6.7420810e-04  2.1844119e-04   6.66e-05     0.0      26       0
   138  6.5772784e-04  2.3762664e-04   6.57e-05     0.0      25       0
   139  5.7334433e-04  4.9857398e-04   7.04e-05     0.0      22       0
   140  6.1270626e-04  7.7552873e-04   8.33e-05    -0.3      21       0
   141  5.5527655e-04  5.5086657e-04   7.34e-05     0.0      21       0
   142  5.3053797e-04  1.8482983e-04   5.28e-05     0.0      21       0
   143  5.2517276e-04  1.5462931e-04   5.09e-05     0.0      21       0
   144  5.0628579e-04  1.8647840e-04   5.06e-05     0.0      21       0
   145  5.1224379e-04  1.3377496e-03   9.94e-05     0.0      20       0
   146  4.1833869e-04  6.1679873e-04   6.35e-05    -0.3      20       0
