
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      200      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 1.56e-01
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      600

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
    82  2.3764980e-02  1.2774372e-03   1.26e-04     0.0     216       0
    83  2.3672611e-02  1.6270487e-03   1.45e-04     0.0     213       0
    84  2.3737576e-02  4.8713825e-03   2.99e-04    -0.3     212       0
    85  2.3645528e-02  2.0161066e-03   1.67e-04    -0.3     213       0
    86  2.3579297e-02  1.1322340e-03   1.18e-04     0.0     212       0
    87  2.3564167e-02  1.2218102e-03   1.23e-04     0.0     212       0
    88  2.3527730e-02  1.2535702e-03   1.25e-04     0.0     211       0
    89  2.2339748e-02  1.4750571e-02   8.06e-04     0.0     185       0
    90  2.1687880e-02  1.1705505e-02   6.26e-04    -0.3     225       0
    91  2.2154338e-02  1.2366165e-02   6.91e-04     0.0     217       0
    92  2.0754739e-02  1.0042719e-03   1.05e-04     0.0     211       0
    93  2.0722141e-02  9.4744816e-04   1.02e-04     0.0     211       0
    94  2.0601664e-02  1.1611701e-03   1.13e-04     0.0     208       0
    95  2.0574645e-02  1.8763831e-03   1.45e-04    -0.3     205       0
    96  2.0670467e-02  3.8723209e-03   2.53e-04     0.0     206       0
    97  2.0525905e-02  1.6163328e-03   1.33e-04     0.0     205       0
    98  2.0491840e-02  9.7257275e-04   1.02e-04     0.0     206       0
    99  2.0478051e-02  9.1792480e-04   9.93e-05     0.0     205       0
   100  2.0260107e-02  1.1349542e-03   1.07e-04     0.0     197       0
   101  2.0379489e-02  3.9564928e-03   2.57e-04    -0.3     197       0
   102  2.0421308e-02  5.2322102e-03   3.07e-04     0.0     200       0
   103  2.0231685e-02  1.2232396e-03   1.16e-04     0.0     198       0
   104  2.0198192e-02  7.4615443e-04   8.97e-05     0.0     197       0
   105  2.0186373e-02  7.6170305e-04   9.04e-05     0.0     197       0
   106  1.9537712e-02  1.3833495e-03   1.21e-04     0.0     187       0
   107  1.9964342e-02  8.2761035e-03   4.52e-04    -0.3     196       0
   108  2.0151496e-02  7.7790307e-03   4.52e-04     0.0     201       0
   109  1.9541059e-02  1.5007827e-03   1.24e-04     0.0     188       0
   110  1.9501782e-02  6.6038378e-04   8.38e-05     0.0     187       0
   111  1.9484922e-02  6.3910680e-04   8.24e-05     0.0     187       0
   112  1.9483925e-02  7.0317230e-03   4.09e-04     0.0     183       0
   113  1.9081657e-02  1.6447853e-03   1.29e-04    -0.3     189       0
   114  1.9027082e-02  1.0317998e-03   1.01e-04     0.0     184       0
   115  1.9007267e-02  7.8108163e-04   8.77e-05     0.0     185       0
   116  1.8984630e-02  8.5157361e-04   9.14e-05     0.0     185       0
   117  1.8964983e-02  1.3417127e-03   1.14e-04    -0.3     185       0
   118  1.8983935e-02  1.9521953e-03   1.49e-04    -0.3     183       0
   119  1.8930592e-02  7.1311091e-04   8.35e-05     0.0     185       0
   120  1.8920980e-02  7.3658220e-04   8.52e-05     0.0     185       0
   121  1.8906480e-02  6.9939778e-04   8.32e-05     0.0     185       0
   122  1.8394952e-02  5.4936612e-03   3.16e-04     0.0     180       0
   123  1.8710514e-02  6.8284301e-03   4.03e-04    -0.3     197       0
   124  1.8411354e-02  4.8885444e-03   2.88e-04     0.0     180       0
   125  1.8179234e-02  6.4982116e-04   8.30e-05     0.0     180       0
   126  1.8163217e-02  6.6955880e-04   8.33e-05     0.0     180       0
   127  1.8084569e-02  5.7009045e-04   7.68e-05     0.0     180       0
   128  1.8013785e-02  4.6197317e-03   2.80e-04     0.0     177       0
   129  1.7845817e-02  2.9858784e-03   1.89e-04    -0.3     178       0
   130  1.7777316e-02  1.1288292e-03   1.01e-04     0.0     177       0
   131  1.7751862e-02  7.3863568e-04   7.98e-05     0.0     177       0
   132  1.7739081e-02  7.6754770e-04   8.15e-05     0.0     177       0
   133  1.7703014e-02  3.8315985e-03   2.33e-04     0.0     181       0
   134  1.7598855e-02  8.3027449e-04   9.04e-05    -0.3     180       0
   135  1.7570473e-02  6.6987196e-04   7.98e-05     0.0     182       0
   136  1.7557351e-02  5.2756103e-04   7.31e-05     0.0     181       0
   137  1.7529970e-02  5.0723688e-04   7.20e-05     0.0     180       0
   138  1.7428256e-02  2.5470488e-03   1.68e-04     0.0     175       0
   139  1.7473990e-02  2.5025092e-03   1.74e-04    -0.3     175       0
   140  1.7391580e-02  1.2950304e-03   1.07e-04     0.0     174       0
   141  1.7367476e-02  5.3419141e-04   7.10e-05     0.0     174       0
   142  1.7360578e-02  5.2003147e-04   7.01e-05     0.0     174       0
   143  1.7271060e-02  2.4362379e-03   1.71e-04     0.0     175       0
   144  1.7326445e-02  3.5251264e-03   2.16e-04    -0.3     177       0
   145  1.7230451e-02  1.2831248e-03   1.12e-04     0.0     175       0
   146  1.7192980e-02  4.4633886e-04   6.72e-05     0.0     175       0
   147  1.7185077e-02  4.8127348e-04   6.90e-05     0.0     175       0
   148  1.7096875e-02  4.5706733e-04   6.68e-05     0.0     175       0
   149  1.6957971e-02  4.1449635e-03   2.57e-04    -0.3     174       0
   150  1.7068614e-02  5.3946095e-03   3.06e-04    -0.3     181       0
   151  1.6864699e-02  2.2629185e-03   1.62e-04     0.0     174       0
   152  1.6773489e-02  4.2271270e-04   6.51e-05     0.0     175       0
   153  1.6761741e-02  4.4369053e-04   6.62e-05     0.0     175       0
   154  1.6698493e-02  4.5615188e-04   6.58e-05     0.0     173       0
   155  1.6660926e-02  2.0100464e-03   1.47e-04    -0.3     172       0
   156  1.6620143e-02  8.1383205e-04   8.25e-05    -0.3     174       0
   157  1.6600504e-02  5.6813533e-04   7.21e-05     0.0     173       0
   158  1.6593984e-02  4.4255068e-04   6.52e-05     0.0     174       0
