
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :    12800      No. columns           :    34341
 Initial tau           : 1.84e+05      Two-norm of b         : 2.85e+03
 Optimality tol        : 1.00e-04      Target one-norm of x  : 1.84e+05
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
    80  4.7681333e+01  3.2073316e+01   6.34e-01     0.0    6943       0
    81  4.7278255e+01  3.2206106e+01   6.27e-01     0.0    6927       0
    82  4.7258008e+01  1.5597752e+02   1.35e+00    -0.3    6935       0
    83  4.6099441e+01  4.4745753e+01   6.77e-01    -0.3    7019       0
    84  4.5941565e+01  3.0739106e+01   5.94e-01     0.0    7001       0
    85  4.5856381e+01  3.1920290e+01   6.00e-01     0.0    6975       0
    86  4.4994980e+01  3.9662159e+01   6.28e-01     0.0    6874       0
    87  4.4942634e+01  1.4520363e+02   1.21e+00    -0.3    6931       0
    88  4.5137343e+01  1.3784377e+02   1.16e+00     0.0    6958       0
    89  4.4513563e+01  3.5042131e+01   5.95e-01     0.0    6933       0
    90  4.4447420e+01  3.4302249e+01   5.89e-01     0.0    6928       0
    91  4.4332818e+01  3.4222929e+01   5.87e-01     0.0    6914       0
    92  4.2660541e+01  4.9219624e+02   2.73e+00     0.0    6631       0
    93  3.9434005e+01  1.2623405e+02   8.81e-01    -0.3    6973       0
    94  3.8589361e+01  5.0758814e+01   5.46e-01     0.0    7280       0
    95  3.8394995e+01  3.2936904e+01   4.74e-01     0.0    7173       0
    96  3.8100077e+01  3.5898572e+01   4.84e-01     0.0    7074       0
    97  3.8020063e+01  9.7876563e+01   7.26e-01     0.0    6959       0
    98  3.8110004e+01  1.8143201e+02   1.05e+00    -0.3    7007       0
    99  3.7619118e+01  3.3300003e+01   4.68e-01     0.0    6988       0
   100  3.7580753e+01  3.2181120e+01   4.63e-01     0.0    6978       0
   101  3.7417050e+01  3.0765713e+01   4.55e-01     0.0    6955       0
   102  3.6753416e+01  5.9177283e+02   2.49e+00    -0.3    6788       0
   103  3.5840265e+01  1.1401599e+02   7.22e-01    -0.3    7008       0
   104  3.5509047e+01  3.5190593e+01   4.41e-01     0.0    7030       0
   105  3.5454773e+01  2.7659022e+01   4.15e-01     0.0    6981       0
   106  3.5302349e+01  2.8654176e+01   4.16e-01     0.0    6918       0
   107  3.5261161e+01  3.4953000e+02   1.50e+00     0.0    6849       0
   108  3.4826835e+01  4.9189495e+01   4.77e-01    -0.3    6988       0
   109  3.4745530e+01  3.0086174e+01   4.13e-01     0.0    6930       0
   110  3.4707129e+01  2.9293488e+01   4.10e-01     0.0    6907       0
   111  3.4508970e+01  3.0441045e+01   4.10e-01     0.0    6848       0
   112  3.4498088e+01  1.1584842e+02   6.84e-01    -0.3    6880       0
   113  3.4670372e+01  2.0618440e+02   9.84e-01     0.0    6857       0
   114  3.4302093e+01  2.8760304e+01   4.02e-01     0.0    6880       0
   115  3.4274015e+01  2.8879558e+01   4.02e-01     0.0    6874       0
   116  3.4214223e+01  2.9028030e+01   4.02e-01     0.0    6860       0
   117  3.3164929e+01  7.6941690e+02   2.53e+00     0.0    6518       0
   118  3.2149894e+01  7.8855147e+02   2.49e+00    -0.3    6923       0
   119  2.9555487e+01  1.7998309e+02   6.90e-01     0.0    7574       0
   120  2.9295154e+01  3.9643710e+01   3.56e-01     0.0    7301       0
   121  2.9190078e+01  3.8389719e+01   3.51e-01     0.0    7169       0
   122  2.8922906e+01  7.9460974e+01   4.39e-01     0.0    6983       0
   123  2.8921729e+01  1.3070782e+02   5.57e-01    -0.3    6975       0
   124  2.8974769e+01  2.1910261e+02   7.56e-01     0.0    6975       0
   125  2.8711248e+01  4.9013323e+01   3.67e-01     0.0    6981       0
   126  2.8685256e+01  3.1488327e+01   3.28e-01     0.0    6976       0
   127  2.8634626e+01  3.1351533e+01   3.27e-01     0.0    6956       0
   128  2.8230925e+01  7.9408054e+02   1.96e+00     0.0    6761       0
   129  2.8213286e+01  5.7551342e+02   1.49e+00    -0.3    6962       0
   130  2.7654772e+01  6.7888960e+01   3.90e-01     0.0    7051       0
   131  2.7619886e+01  3.4819955e+01   3.21e-01     0.0    7005       0
   132  2.7547906e+01  4.2221913e+01   3.35e-01     0.0    6963       0
   133  2.7293979e+01  3.0112085e+02   8.55e-01     0.0    6874       0
   134  2.7432903e+01  6.3879184e+02   1.55e+00    -0.3    6960       0
   135  2.7161799e+01  1.7555830e+02   5.95e-01     0.0    6919       0
   136  2.7118693e+01  2.9894381e+01   3.04e-01     0.0    6918       0
   137  2.7099495e+01  2.9942248e+01   3.04e-01     0.0    6900       0
   138  2.6848785e+01  1.7819198e+02   5.90e-01     0.0    6820       0
   139  2.6846358e+01  1.2226771e+02   4.80e-01    -0.3    6850       0
   140  2.6780310e+01  1.4508276e+02   5.23e-01     0.0    6868       0
   141  2.6726378e+01  3.2040638e+01   3.03e-01     0.0    6854       0
   142  2.6710645e+01  3.1712632e+01   3.02e-01     0.0    6853       0
   143  2.6614906e+01  3.5611691e+01   3.08e-01     0.0    6838       0
   144  2.6609915e+01  3.0407226e+02   8.22e-01    -0.3    6843       0
   145  2.6484030e+01  3.2662163e+01   3.01e-01    -0.3    6849       0
   146  2.6467709e+01  3.2161342e+01   2.99e-01     0.0    6842       0
   147  2.6422770e+01  3.1343103e+01   2.97e-01     0.0    6830       0
   148  2.6214367e+01  6.3511038e+02   1.42e+00     0.0    6785       0
   149  2.5968185e+01  1.4441147e+02   4.98e-01    -0.3    6853       0
   150  2.5867435e+01  8.0696139e+01   3.79e-01     0.0    6826       0
   151  2.5849654e+01  3.2983145e+01   2.92e-01     0.0    6813       0
   152  2.5791991e+01  4.2969329e+01   3.10e-01     0.0    6793       0
   153  2.5750961e+01  2.8516129e+02   7.44e-01    -0.3    6786       0
   154  2.5658035e+01  3.3650393e+01   2.91e-01    -0.3    6810       0
   155  2.5631709e+01  5.6482978e+01   3.31e-01     0.0    6794       0
   156  2.5608080e+01  3.3056048e+01   2.89e-01     0.0    6786       0
   157  2.5513929e+01  5.3823243e+01   3.25e-01     0.0    6772       0
   158  2.5595317e+01  2.1009687e+02   6.02e-01    -0.3    6785       0
   159  2.5485230e+01  1.3733724e+02   4.71e-01     0.0    6777       0
   160  2.5423328e+01  3.3322949e+01   2.87e-01     0.0    6782       0
   161  2.5411531e+01  3.3315305e+01   2.87e-01     0.0    6779       0
   162  2.4949923e+01  3.4917629e+01   2.83e-01     0.0    6756       0
   163  2.5177574e+01  2.7286669e+02   6.94e-01    -0.3    6765       0
   164  2.4862076e+01  7.6551869e+01   3.51e-01    -0.3    6860       0
   165  2.4813039e+01  3.4577728e+01   2.81e-01     0.0    6833       0
   166  2.4798937e+01  3.4268777e+01   2.80e-01     0.0    6807       0
   167  2.4673253e+01  4.2800872e+01   2.93e-01     0.0    6753       0
   168  2.4651627e+01  1.5251408e+02   4.73e-01    -0.3    6783       0
   169  2.4747397e+01  1.7106658e+02   5.05e-01     0.0    6822       0
   170  2.4571496e+01  6.0930992e+01   3.21e-01     0.0    6786       0
   171  2.4540799e+01  3.3910764e+01   2.76e-01     0.0    6792       0
   172  2.4528192e+01  3.3946478e+01   2.76e-01     0.0    6786       0
   173  2.4188486e+01  5.6591441e+01   3.07e-01     0.0    6747       0
   174  2.4520724e+01  2.8184018e+02   6.78e-01    -0.3    6770       0
   175  2.4269396e+01  1.9998036e+02   5.36e-01     0.0    6835       0
   176  2.4073730e+01  3.7369656e+01   2.75e-01     0.0    6807       0
   177  2.4062624e+01  3.5917549e+01   2.73e-01     0.0    6790       0
   178  2.3990378e+01  3.5457682e+01   2.71e-01     0.0    6754       0
   179  2.3914038e+01  1.2436800e+02   4.09e-01    -0.3    6766       0
   180  2.3849711e+01  4.9293891e+01   2.90e-01    -0.3    6841       0
   181  2.3823703e+01  4.3806283e+01   2.82e-01     0.0    6785       0
   182  2.3806728e+01  3.4884550e+01   2.68e-01     0.0    6794       0
   183  2.3784675e+01  3.5045587e+01   2.68e-01     0.0    6770       0
   184  2.3773882e+01  1.0773786e+02   3.78e-01     0.0    6769       0
   185  2.3760676e+01  1.1259615e+02   3.86e-01    -0.3    6754       0
   186  2.3689204e+01  3.5332420e+01   2.67e-01     0.0    6770       0
   187  2.3678989e+01  3.5290458e+01   2.67e-01     0.0    6768       0
   188  2.3605915e+01  3.5317797e+01   2.66e-01     0.0    6749       0
   189  2.3550694e+01  2.6511743e+02   6.09e-01    -0.3    6760       0
