
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :    12800      No. columns           :    73051
 Initial tau           : 2.21e+05      Two-norm of b         : 4.17e+03
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.21e+05
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
    80  3.8063461e+02  6.5711097e+00   6.02e+00     0.0    8583       0
    81  3.8045886e+02  3.5458954e+00   5.03e+00     0.0    8572       0
    82  3.7995817e+02  1.2426651e+01   7.92e+00     0.0    8553       0
    83  3.7973768e+02  1.6925002e+01   9.39e+00    -0.3    8561       0
    84  3.7980646e+02  3.4463582e+01   1.51e+01     0.0    8552       0
    85  3.7936681e+02  1.7195098e+01   9.46e+00     0.0    8562       0
    86  3.7918339e+02  2.6705789e+00   4.72e+00     0.0    8547       0
    87  3.7907634e+02  2.6832434e+00   4.72e+00     0.0    8541       0
    88  3.7351392e+02  4.7838594e+01   1.88e+01     0.0    8209       0
    89  3.7465923e+02  7.2138420e+01   2.67e+01    -0.3    8455       0
    90  3.7225315e+02  2.2136105e+01   1.07e+01     0.0    8596       0
    91  3.7196232e+02  3.6821944e+00   4.90e+00     0.0    8516       0
    92  3.7181722e+02  4.5259134e+00   5.16e+00     0.0    8482       0
    93  3.7153825e+02  4.4496249e+01   1.77e+01     0.0    8371       0
    94  3.7104419e+02  9.6211524e+00   6.77e+00    -0.3    8493       0
    95  3.7090763e+02  7.0429929e+00   5.96e+00     0.0    8465       0
    96  3.7077644e+02  2.9502622e+00   4.68e+00     0.0    8434       0
    97  3.7019638e+02  6.6259505e+00   5.79e+00     0.0    8349       0
    98  3.7081380e+02  5.2841115e+01   2.02e+01    -0.3    8281       0
    99  3.6963049e+02  5.7420643e+00   5.53e+00    -0.3    8516       0
   100  3.6940206e+02  6.2199324e+00   5.67e+00     0.0    8431       0
   101  3.6919946e+02  5.8789947e+00   5.55e+00     0.0    8383       0
   102  3.6898737e+02  1.9427677e+01   9.72e+00     0.0    8300       0
   103  3.6915500e+02  2.9733303e+01   1.29e+01    -0.3    8303       0
   104  3.6870104e+02  9.9594932e+00   6.80e+00     0.0    8300       0
   105  3.6862661e+02  2.9609401e+00   4.64e+00     0.0    8295       0
   106  3.6854266e+02  2.7654570e+00   4.58e+00     0.0    8286       0
   107  3.6653918e+02  2.3865499e+01   1.09e+01     0.0    8155       0
   108  3.6687504e+02  4.0709330e+01   1.61e+01    -0.3    8232       0
   109  3.6614913e+02  1.8914636e+01   9.44e+00     0.0    8276       0
   110  3.6595075e+02  2.8636447e+00   4.56e+00     0.0    8252       0
   111  3.6586910e+02  2.8304755e+00   4.55e+00     0.0    8238       0
   112  3.6614822e+02  7.6423173e+01   2.69e+01     0.0    8149       0
   113  3.6517608e+02  1.2152452e+01   7.36e+00    -0.3    8261       0
   114  3.6503105e+02  9.0886029e+00   6.43e+00     0.0    8237       0
   115  3.6495696e+02  3.2844914e+00   4.68e+00     0.0    8212       0
   116  3.6473752e+02  8.1721883e+00   6.15e+00     0.0    8173       0
   117  3.6494372e+02  4.4008945e+01   1.69e+01    -0.3    8144       0
   118  3.6435163e+02  4.4564802e+00   5.01e+00    -0.3    8204       0
   119  3.6414497e+02  2.8380187e+00   4.53e+00     0.0    8204       0
   120  3.6403241e+02  3.9138041e+00   4.85e+00     0.0    8173       0
   121  3.6377746e+02  9.4486659e+00   6.50e+00     0.0    8137       0
   122  3.6367282e+02  9.9552368e+00   6.65e+00    -0.3    8144       0
   123  3.6359252e+02  1.3138929e+01   7.60e+00     0.0    8142       0
   124  3.6350282e+02  1.0489614e+01   6.81e+00     0.0    8138       0
   125  3.6342790e+02  4.0408324e+00   4.88e+00     0.0    8137       0
   126  3.6336470e+02  3.9662963e+00   4.85e+00     0.0    8130       0
   127  3.6315951e+02  5.1011113e+00   5.19e+00     0.0    8112       0
   128  3.6337266e+02  5.0729865e+01   1.88e+01    -0.3    8103       0
   129  3.6281613e+02  2.8313765e+00   4.50e+00    -0.3    8142       0
   130  3.6272065e+02  5.2160321e+00   5.21e+00     0.0    8133       0
   131  3.6259839e+02  2.8901492e+00   4.52e+00     0.0    8116       0
   132  3.6239707e+02  1.4693366e+01   8.03e+00     0.0    8104       0
   133  3.6229563e+02  4.2578494e+00   4.92e+00    -0.3    8115       0
   134  3.6223149e+02  6.0182535e+00   5.44e+00     0.0    8110       0
   135  3.6215880e+02  2.8512726e+00   4.50e+00     0.0    8104       0
   136  3.6196684e+02  1.5482670e+01   8.24e+00     0.0    8088       0
   137  3.6189247e+02  3.4436542e+00   4.67e+00    -0.3    8099       0
   138  3.6182755e+02  6.4949933e+00   5.57e+00     0.0    8102       0
   139  3.6176303e+02  2.8088414e+00   4.48e+00     0.0    8094       0
   140  3.6159748e+02  9.2163599e+00   6.38e+00     0.0    8079       0
   141  3.6152307e+02  6.5373004e+00   5.58e+00    -0.3    8088       0
   142  3.6143289e+02  1.3846351e+01   7.74e+00     0.0    8085       0
   143  3.6136757e+02  7.0793916e+00   5.74e+00     0.0    8079       0
   144  3.6129285e+02  7.0830175e+00   5.74e+00     0.0    8080       0
   145  3.6124060e+02  2.7939343e+00   4.47e+00     0.0    8073       0
   146  3.6112579e+02  4.0755283e+00   4.84e+00     0.0    8068       0
   147  3.6088082e+02  2.8714332e+01   1.21e+01    -0.3    8040       0
   148  3.6094527e+02  2.3835499e+01   1.07e+01    -0.3    8083       0
   149  3.6045255e+02  7.7240418e+00   5.90e+00     0.0    8101       0
   150  3.6039951e+02  2.8077958e+00   4.46e+00     0.0    8084       0
   151  3.6030538e+02  2.8297421e+00   4.46e+00     0.0    8071       0
   152  3.5975734e+02  5.4875559e+00   5.23e+00     0.0    8019       0
   153  3.5979616e+02  3.3977490e+01   1.36e+01    -0.3    8040       0
   154  3.5946705e+02  3.5606440e+00   4.66e+00    -0.3    8108       0
   155  3.5935223e+02  5.6783578e+00   5.28e+00     0.0    8089       0
   156  3.5924547e+02  3.0011960e+00   4.50e+00     0.0    8060       0
   157  3.5909780e+02  8.2161805e+00   6.02e+00     0.0    8043       0
   158  3.5915718e+02  2.6339167e+01   1.13e+01    -0.3    8020       0
   159  3.5906879e+02  2.7986588e+01   1.18e+01    -0.3    8052       0
   160  3.5881809e+02  5.2953151e+00   5.16e+00     0.0    8050       0
   161  3.5878057e+02  2.8625785e+00   4.45e+00     0.0    8035       0
   162  3.5864502e+02  8.2424106e+00   6.01e+00     0.0    8021       0
   163  3.5871350e+02  2.6015366e+01   1.12e+01    -0.3    8007       0
   164  3.5864575e+02  2.7030312e+01   1.15e+01    -0.3    8033       0
   165  3.5838787e+02  6.4263177e+00   5.48e+00     0.0    8031       0
   166  3.5835130e+02  2.8376549e+00   4.43e+00     0.0    8016       0
   167  3.5823142e+02  6.5834923e+00   5.52e+00     0.0    8004       0
   168  3.5820174e+02  1.8989726e+01   9.12e+00    -0.3    7995       0
   169  3.5826859e+02  3.0326176e+01   1.24e+01    -0.3    8014       0
   170  3.5797150e+02  6.9304072e+00   5.61e+00     0.0    8019       0
   171  3.5793746e+02  2.8256933e+00   4.42e+00     0.0    8007       0
   172  3.5787937e+02  2.8019709e+00   4.41e+00     0.0    7999       0
   173  3.5752149e+02  1.0286390e+01   6.57e+00     0.0    7975       0
   174  3.5767005e+02  3.4459452e+01   1.36e+01    -0.3    7999       0
   175  3.5749672e+02  2.2268291e+01   1.00e+01     0.0    8009       0
   176  3.5729474e+02  2.9350655e+00   4.44e+00     0.0    8006       0
   177  3.5725976e+02  2.9077210e+00   4.43e+00     0.0    8000       0
   178  3.5714929e+02  7.0616951e+00   5.63e+00     0.0    7984       0
   179  3.5729369e+02  3.4362447e+01   1.35e+01     0.0    7957       0
   180  3.5692936e+02  3.2473366e+00   4.52e+00    -0.3    8019       0
   181  3.5686634e+02  2.7822570e+00   4.39e+00     0.0    7990       0
   182  3.5674160e+02  2.9428917e+00   4.44e+00     0.0    7965       0
   183  3.5640334e+02  6.2607817e+00   5.37e+00     0.0    7934       0
   184  3.5633731e+02  2.2344609e+01   1.00e+01    -0.3    7984       0
